vir_Donor,mul_Donor,Protocol,n,percent
multiplet,multiplet,LMO,2766,96.64570230607966
VBDR1233,VBDR1233,CMO,3037,94.78776529338327
VBDR1216,VBDR1216,CMO,3330,94.54855195911414
VBDR1206,VBDR1206,CMO,2611,93.35001787629604
VBDR1186,VBDR1186,CMO,4494,93.29458168984846
VBDR1186,VBDR1186,LMO,3787,91.60619254958877
VBDR1233,VBDR1233,LMO,5850,91.29213483146067
VBDR1206,VBDR1206,LMO,2973,90.64024390243902
VBDR1216,VBDR1216,LMO,3881,90.50839552238806
unassigned,multiplet,LMO,157,85.32608695652173
multiplet,multiplet,HTO,2595,83.87201034259859
VBDR1233,VBDR1233,HTO,3653,82.53502033438771
NA,unassigned,CMO,2815,79.05082841898343
VBDR1216,VBDR1216,HTO,2995,78.36211407639979
VBDR1186,VBDR1186,HTO,4576,78.02216538789429
VBDR1206,VBDR1206,HTO,2891,77.58990874932904
multiplet,multiplet,CMO,1243,77.49376558603491
unassigned,multiplet,HTO,84,65.11627906976744
unassigned,multiplet,CMO,28,54.90196078431373
NA,empty,CMO,746,20.949171581016568
unassigned,VBDR1206,CMO,9,17.647058823529413
unassigned,unassigned,HTO,22,17.05426356589147
unassigned,VBDR1216,CMO,8,15.686274509803921
VBDR1206,unassigned,HTO,573,15.37842190016103
multiplet,unassigned,HTO,432,13.962508080155139
VBDR1186,unassigned,HTO,805,13.725490196078432
VBDR1216,unassigned,HTO,520,13.60544217687075
unassigned,empty,HTO,16,12.4031007751938
VBDR1233,unassigned,HTO,527,11.906913691821057
VBDR1216,multiplet,LMO,361,8.418843283582088
VBDR1186,multiplet,HTO,479,8.167092924126171
VBDR1216,multiplet,HTO,302,7.901622187336472
unassigned,VBDR1233,CMO,4,7.8431372549019605
VBDR1206,multiplet,LMO,251,7.652439024390244
VBDR1233,multiplet,LMO,476,7.428214731585518
multiplet,VBDR1186,CMO,108,6.733167082294264
VBDR1186,multiplet,LMO,272,6.579583938074504
VBDR1186,multiplet,CMO,310,6.435540793024703
VBDR1206,multiplet,CMO,175,6.2567036110117975
VBDR1206,multiplet,HTO,223,5.984970477724101
unassigned,VBDR1216,LMO,11,5.978260869565218
multiplet,VBDR1216,CMO,95,5.922693266832918
multiplet,VBDR1206,CMO,89,5.548628428927681
VBDR1233,multiplet,HTO,229,5.17397198373249
VBDR1216,multiplet,CMO,165,4.6848381601362865
multiplet,VBDR1233,CMO,69,4.301745635910224
VBDR1233,multiplet,CMO,137,4.275905118601748
unassigned,VBDR1186,CMO,2,3.9215686274509802
unassigned,VBDR1206,LMO,7,3.804347826086957
unassigned,unassigned,LMO,5,2.717391304347826
unassigned,VBDR1216,HTO,3,2.3255813953488373
multiplet,unassigned,LMO,52,1.8169112508735148
unassigned,VBDR1186,HTO,2,1.550387596899225
unassigned,VBDR1233,HTO,2,1.550387596899225
VBDR1186,unassigned,LMO,49,1.185292694726657
VBDR1206,unassigned,LMO,38,1.1585365853658536
unassigned,VBDR1233,LMO,2,1.0869565217391304
unassigned,empty,LMO,2,1.0869565217391304
VBDR1233,unassigned,LMO,63,0.9831460674157303
VBDR1216,unassigned,LMO,40,0.9328358208955223
multiplet,VBDR1186,HTO,26,0.8403361344537815
VBDR1206,empty,HTO,28,0.7514761137949544
VBDR1186,empty,LMO,25,0.6047411707789065
multiplet,VBDR1233,HTO,17,0.5494505494505495
VBDR1206,empty,LMO,16,0.4878048780487805
multiplet,VBDR1233,LMO,13,0.4542278127183787
VBDR1233,VBDR1206,CMO,13,0.4057428214731586
VBDR1216,VBDR1233,CMO,14,0.3975014196479273
multiplet,VBDR1216,HTO,12,0.3878474466709761
multiplet,VBDR1186,LMO,10,0.3494060097833683
VBDR1233,empty,HTO,15,0.3389064618165386
VBDR1216,VBDR1206,CMO,11,0.3123225440090857
VBDR1233,empty,LMO,19,0.2965043695380774
VBDR1233,VBDR1186,CMO,9,0.2808988764044944
multiplet,empty,LMO,8,0.2795248078266946
multiplet,empty,HTO,8,0.25856496444731736
VBDR1233,VBDR1216,CMO,8,0.24968789013732834
multiplet,VBDR1216,LMO,7,0.2445842068483578
VBDR1186,VBDR1233,CMO,11,0.2283578991073282
VBDR1206,VBDR1233,HTO,8,0.2147074610842727
multiplet,VBDR1206,LMO,6,0.20964360587002098
VBDR1206,VBDR1186,CMO,4,0.14301036825169824
VBDR1206,VBDR1216,CMO,4,0.14301036825169824
VBDR1216,empty,HTO,5,0.13082155939298795
multiplet,VBDR1206,HTO,4,0.12928248222365868
VBDR1216,empty,LMO,5,0.11660447761194029
VBDR1206,VBDR1233,CMO,3,0.10725777618877369
VBDR1186,empty,HTO,4,0.06820119352088662
VBDR1206,VBDR1233,LMO,2,0.06097560975609756
VBDR1216,VBDR1186,CMO,2,0.05678591709256105
VBDR1206,VBDR1216,HTO,2,0.05367686527106817
VBDR1233,VBDR1206,HTO,2,0.045187528242205156
VBDR1186,VBDR1206,CMO,2,0.041519618019514225
VBDR1206,VBDR1186,HTO,1,0.026838432635534086
VBDR1186,VBDR1206,LMO,1,0.024189646831156264
VBDR1216,VBDR1186,LMO,1,0.023320895522388058
VBDR1186,VBDR1216,HTO,1,0.017050298380221655
